county,precinct,office,district,party,candidate,votes
Wayne,48,President,,CON,Darrell L. Castle,6
Wayne,49,President,,REP,Donald J. Trump,495
Wayne,49,President,,DEM,Hillary Clinton,139
Wayne,49,President,,LIB,Gary Johnson,19
Wayne,49,President,,GRN,Jill Stein,5
Wayne,49,President,,CON,Darrell L. Castle,8
Wayne,50,President,,REP,Donald J. Trump,336
Wayne,50,President,,DEM,Hillary Clinton,105
Wayne,50,President,,LIB,Gary Johnson,11
Wayne,50,President,,GRN,Jill Stein,7
Wayne,50,President,,CON,Darrell L. Castle,4
Wayne,51,President,,REP,Donald J. Trump,427
Wayne,51,President,,DEM,Hillary Clinton,96
Wayne,51,President,,LIB,Gary Johnson,11
Wayne,51,President,,GRN,Jill Stein,5
Wayne,51,President,,CON,Darrell L. Castle,6
Wayne,52,President,,REP,Donald J. Trump,172
Wayne,52,President,,DEM,Hillary Clinton,47
Wayne,52,President,,LIB,Gary Johnson,2
Wayne,52,President,,GRN,Jill Stein,3
Wayne,52,President,,CON,Darrell L. Castle,3
Wayne,53,President,,REP,Donald J. Trump,381
Wayne,53,President,,DEM,Hillary Clinton,82
Wayne,53,President,,LIB,Gary Johnson,16
Wayne,53,President,,GRN,Jill Stein,2
Wayne,53,President,,CON,Darrell L. Castle,7
Wayne,54,President,,REP,Donald J. Trump,253
Wayne,54,President,,DEM,Hillary Clinton,66
Wayne,54,President,,LIB,Gary Johnson,9
Wayne,54,President,,GRN,Jill Stein,4
Wayne,54,President,,CON,Darrell L. Castle,6
Wayne,56,President,,REP,Donald J. Trump,465
Wayne,56,President,,DEM,Hillary Clinton,171
Wayne,56,President,,LIB,Gary Johnson,15
Wayne,56,President,,GRN,Jill Stein,3
Wayne,56,President,,CON,Darrell L. Castle,3
Wayne,57,President,,REP,Donald J. Trump,290
Wayne,57,President,,DEM,Hillary Clinton,84
Wayne,57,President,,LIB,Gary Johnson,14
Wayne,57,President,,GRN,Jill Stein,3
Wayne,57,President,,CON,Darrell L. Castle,3
Wayne,59,President,,REP,Donald J. Trump,278
Wayne,59,President,,DEM,Hillary Clinton,144
Wayne,59,President,,LIB,Gary Johnson,33
Wayne,59,President,,GRN,Jill Stein,9
Wayne,59,President,,CON,Darrell L. Castle,7
Wayne,60,President,,REP,Donald J. Trump,259
Wayne,60,President,,DEM,Hillary Clinton,149
Wayne,60,President,,LIB,Gary Johnson,15
Wayne,60,President,,GRN,Jill Stein,5
Wayne,60,President,,CON,Darrell L. Castle,3
Wayne,61,President,,REP,Donald J. Trump,218
Wayne,61,President,,DEM,Hillary Clinton,114
Wayne,61,President,,LIB,Gary Johnson,13
Wayne,61,President,,GRN,Jill Stein,4
